case_id,records,example_record_id,family_id,session_ids,allowed_point_counts
S1.A,12,v2-r301-000,family-301,u301_00,1
S1.B,12,v2-r301-001,family-301,u301_00,1
S1.C,12,v2-r301-029,family-301,u301_13,1
S2.A,12,v2-r301-002,family-301,u301_05,6
S2.B,12,v2-r301-003,family-301,u301_06,9
S2.C,12,v2-r301-004,family-301,u301_07,18
S3.A,12,v2-r301-005,family-301,u301_00,12
S3.B,11,v2-r301-007,family-301,u301_00,9
S3.C,12,v2-r301-006,family-301,u301_00,4
S4.A,12,v2-r301-008,family-301,u301_00;u301_09,30;30
S4.B,12,v2-r301-009,family-301,u301_00;u301_10,30;31
S4.C,12,v2-r301-010,family-301,u301_00;u301_11,30;27
S5.A,12,v2-r301-011,family-301,u301_00,7
S5.B,12,v2-r301-012,family-301,u301_00,3
S5.C,4,v2-r304-013,family-304,u304_00;u304_02,7;7
S6.A,4,v2-r304-014,family-304,u304_00;u304_02,7;7
S6.B,5,v2-r304-034,family-304,u304_00;u304_12,5;11
S6.C,10,v2-r302-030,family-302,u302_14;u302_15;u302_16;u302_17;u302_18;u302_19;u302_20,33;33;19;33;34;33;7
S7.A,36,v2-r301-013,family-301,u301_00,1
S7.B,36,v2-r301-016,family-301,u301_00,1
S7.C,36,v2-r301-019,family-301,u301_00,3
S8.A,12,v2-r301-022,family-301,u301_00;u301_02,30;24
S8.B,9,v2-r301-023,family-301,u301_00;u301_01,30;30
S8.C,12,v2-r301-024,family-301,u301_00;u301_03,30;23
S9.A,12,v2-r301-025,family-301,u301_00,27
S9.B,11,v2-r301-026,family-301,u301_00;u301_04,28;28
S9.C,12,v2-r301-027,family-301,u301_00;u301_09,27;27
S10.A,11,v2-r302-025,family-302,u302_08,38
S10.C,12,v2-r301-028,family-301,u301_00;u301_09,27;27
